,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
0,個室居酒屋 晴れる屋 新橋店,050-5488-8651,,東京都,港区,新橋4-9-1,,,True
1,完全個室 鮮魚と地酒 味喜庵 はなれ,03-3255-0505,,東京都,千代田区,鍛冶町1-7-14,,,True
2,全席個室 博多 赤らく,050-5492-3335,,福岡県,福岡市,博多区博多駅中央街5-3,,,True
3,焼津 まんまる。,050-5484-8829,,静岡県,焼津市,東小川2-17-13,,,True
4,仙台個室居酒屋 彩のごとく,050-5485-4830,,宮城県,仙台市,青葉区中央2-3-23,,,True
5,焼き鳥・肉寿司食べ放題 個室居酒屋 おかざき劇場 東岡崎本店,050-5494-3283,,愛知県,岡崎市,明大寺本町4-8-1,,,True
6,居楽屋白木屋 東室蘭ドンキホーテ前店,0143-47-0688,,北海道,室蘭市,中島町1-21-4,,,True
7,江戸前握り寿司と旨い酒 ふらり寿司 名古屋駅本店,050-5485-0418,,愛知県,名古屋市,中村区名駅4-24-8,,,True
8,和風ダイニング 咲椀,050-5486-5198,,愛知県,小牧市,小針1-290,,,True
9,魚民 富士宮店,0544-24-8088,,静岡県,富士宮市,東阿幸地24,,,True
10,小野の離れ 博多本店,050-5488-6162,,福岡県,福岡市,博多区中洲5-5-1,,,True
11,酒処 鶏屋 TOM,050-5484-3886,,広島県,呉市,中通3-1-2,,,True
12,焼き鳥職人 信 岡山本店,050-5488-5515,,岡山県,岡山市,北区本町5-13,,,True
13,てんみ 島田店,050-5487-1150,,静岡県,島田市,日之出町1-12,,,True
14,山内農場 飯田駅前店,0265-21-4388,,長野県,飯田市,中央通り4-42,,,True
15,山内農場 浜松モール街店,053-451-1388,,静岡県,浜松市,中央区千歳町73-1,,,True
16,炭火焼鳥 鳥さき,050-5489-2426,,茨城県,つくば市,研究学園5-13-4,,,True
17,世界の山ちゃん 東岡崎駅前店,050-5485-9104,,愛知県,岡崎市,明大寺本町4-11,,,True
18,海物語 本店,050-5487-2278,,沖縄県,国頭郡恩納村,字名嘉真2246,,,True
19,【個室完備】郷土料理と地酒×山と海の幸 いろり家 八戸三日町店,050-5484-0741,,青森県,八戸市,三日町24,,,True
20,沼津 お魚ダイニング hiro,050-5486-1746,,静岡県,沼津市,杉崎町12-18,,,True
21,海鮮 個室居酒屋 天海―てんかい― 金山駅前店,050-5486-6288,,愛知県,名古屋市,中区金山4-6-26,,,True
22,山内農場 北見北5条西2丁目店,0157-31-3988,,北海道,北見市,北五条西2-15,,,True
23,全席個室 居酒屋 あや鶏 長崎浜の町店,050-5485-0870,,長崎県,長崎市,万屋町5-9,,,True
24,居楽屋白木屋 川内西口駅前店,0996-20-1488,,鹿児島県,薩摩川内市,鳥追町5-12,,,True
25,全席完全個室 九州鶏料理居酒屋 よか鶏 周南市徳山店,050-5487-8887,,山口県,周南市,平和通1-19,,,True
26,寿司と天ぷら 個室居酒屋 天寿司（てんずし） 東岡崎店,050-5489-0672,,愛知県,岡崎市,明大寺町字耳取14-5,,,True
27,焼肉カルビ一丁 大仁店,050-5486-3320,,静岡県,伊豆の国市,中島41－1,,,True
28,しゃもじや,050-5484-4542,,愛知県,安城市,三河安城本町1-33-4,,,True
29,魚民 十和田稲生町店,0176-25-4088,,青森県,十和田市,稲生町17-15,,,True
30,寿司酒家 七福食堂 武山店,050-5492-7303,,神奈川県,横須賀市,長坂3-10-16,,,True
31,居酒屋 こっこ,050-5489-4974,,沖縄県,名護市,城1-3-6,,,True
32,南方倶楽部 HUB,050-5492-8437,,沖縄県,那覇市,久茂地3-11-17,,,True
33,2980円食べ飲み放題！居酒屋 道らく 水道橋店,050-5489-4884,,東京都,千代田区,神田三崎町3-7-12,,,True
34,個室居酒屋 晴れる屋 新橋店,050-5488-8651,,東京都,港区,新橋4-9-1,,,True
35,完全個室 鮮魚と地酒 味喜庵 はなれ,03-3255-0505,,東京都,千代田区,鍛冶町1-7-14,,,True
36,全席個室 博多 赤らく,050-5492-3335,,福岡県,福岡市,博多区博多駅中央街5-3,,,True
37,焼津 まんまる。,050-5484-8829,,静岡県,焼津市,東小川2-17-13,,,True
38,仙台個室居酒屋 彩のごとく,050-5485-4830,,宮城県,仙台市,青葉区中央2-3-23,,,True
39,焼き鳥・肉寿司食べ放題 個室居酒屋 おかざき劇場 東岡崎本店,050-5494-3283,,愛知県,岡崎市,明大寺本町4-8-1,,,True
40,居楽屋白木屋 東室蘭ドンキホーテ前店,0143-47-0688,,北海道,室蘭市,中島町1-21-4,,,True
41,江戸前握り寿司と旨い酒 ふらり寿司 名古屋駅本店,050-5485-0418,,愛知県,名古屋市,中村区名駅4-24-8,,,True
42,和風ダイニング 咲椀,050-5486-5198,,愛知県,小牧市,小針1-290,,,True
43,魚民 富士宮店,0544-24-8088,,静岡県,富士宮市,東阿幸地24,,,True
44,小野の離れ 博多本店,050-5488-6162,,福岡県,福岡市,博多区中洲5-5-1,,,True
45,酒処 鶏屋 TOM,050-5484-3886,,広島県,呉市,中通3-1-2,,,True
46,焼き鳥職人 信 岡山本店,050-5488-5515,,岡山県,岡山市,北区本町5-13,,,True
47,てんみ 島田店,050-5487-1150,,静岡県,島田市,日之出町1-12,,,True
48,山内農場 飯田駅前店,0265-21-4388,,長野県,飯田市,中央通り4-42,,,True
